Nasabah_ID,Jenis_Kel,Tgl_lahir,Jml_Pinjaman,JW,Kolektibilitas,angsuran_ke,Unit
UL.000331,L,21/09/1979,84100000,23,L,6,KONVEN
UL.000415,L,13/02/1977,88800000,32,L,6,KONVEN
UL.000443,P,01/07/1983,29400000,24,L,6,KONVEN
UL.000433,L,04/06/1977,30600000,24,L,6,KONVEN
UL.000463,L,10/11/1979,10700000,12,L,6,KONVEN
UL.000225,L,17/02/1988,36000000,15,L,6,KONVEN
UL.000407,L,26/11/1987,48500000,24,L,6,KONVEN
UL.000203,P,21/07/1970,34800000,20,L,6,KONVEN
UL.000143,L,16/01/1971,126000000,24,L,6,KONVEN
UL.000434,L,08/05/1970,115700000,35,L,6,KONVEN
UL.000002,P,08/08/1969,207000000,31,L,6,KONVEN
UL.000448,L,11/05/1974,56800000,15,L,5,KONVEN
UL.000301,L,11/07/1969,70400000,20,L,5,KONVEN
UL.000015,L,15/07/1968,94000000,18,L,5,KONVEN
UL.000344,L,30/06/1983,68400000,36,L,5,KONVEN
UL.000404,L,23/08/1968,18200000,18,L,4,KONVEN
UL.000468,P,31/12/1967,12700000,11,PK,3,KONVEN
UL.000379,L,08/03/1982,153500000,42,L,5,KONVEN
UL.000325,P,13/10/1976,85000000,29,L,5,KONVEN
UL.000419,P,11/12/1986,26500000,13,L,5,KONVEN
UL.000360,L,05/03/1985,12000000,12,PK,3,KONVEN
UL.000214,L,05/10/1979,35000000,12,L,4,KONVEN
UL.000274,P,17/05/1984,157400000,36,L,4,KONVEN
UL.000340,L,30/12/1974,30400000,18,L,4,KONVEN
UL.000381,L,13/05/1983,24250000,12,PK,1,KONVEN
UL.000432,L,01/05/1986,54850000,21,L,1,KONVEN
UL.000460,P,12/01/1983,27750000,24,L,1,KONVEN
UL.000417,P,05/06/1985,6200000,7,L,1,KONVEN
UL.000438,P,09/07/1980,28750000,20,L,2,KONVEN
UL.000452,P,01/04/1978,6750000,9,L,1,KONVEN
JB.000884,L,10/09/1994,25000000,24,M,9,KONVEN
JB.000784,L,01/09/1960,45000000,60,L,50,KONVEN
JB.000864,L,19/06/1988,30000000,36,M,7,KONVEN
JB.000820,L,20/06/1985,51000000,36,M,17,KONVEN
JB.000921,P,25/12/1983,100000000,24,M,9,KONVEN
